Transaction ID,Customer ID,Transaction Date,Product ID,Product Category,Quantity,Unit Price,Gender,Age
T00001,C00101,2023-01-05,P001,Smartphones,1,899.99,Male,29
T00002,C00102,2023-01-05,P015,Accessories,2,19.99,Female,42
T00003,C00103,2023-01-06,P005,Laptops,1,1299.00,Male,57
T00004,C00101,2023-01-07,P002,Smartphones,1,799.00,Male,31
T00005,C00104,2023-01-08,P008,Wearables,1,21.99,Female,20
T00006,C00105,2023-01-08,P010,Home Automation,1,149.00,Male,45
T00007,C00101,2023-01-09,P016,Accessories,3,9.50,Male,30
T00008,C00106,2023-01-09,P003,Smartphones,1,650.00,Female,71
T00009,C00107,2023-01-10,P006,Laptops,1,999.00,Male,28
T00010,C00108,2023-01-10,P011,Home Automation,2,75.00,Female,53
T00011,C00109,2023-01-11,P004,Smartphones,1,950.00,Male,38
T00012,C00110,2023-01-11,P017,Accessories,,15.00,Female,22
T00013,C00101,2023-01-12,P012,Home Automation,1,199.00,Male,32
T00014,C00102,2023-01-12,P007,Laptops,1,1100.00,Female,40
T00015,C00111,2023-01-13,P009,Wearables,1,350.00,Male,67
T00016,C00103,2023-01-13,P018,Accessories,2,25.00,Male,60
T00017,C00104,2023-01-14,P001,Smartphones,1,899.99,Female,24
T00018,C00105,2023-01-14,P013,Home Automation,1,250.00,Male,48
T00019,C00101,2023-01-15,P001,Smartphones,1,899.99,Male,27
T00020,C00112,2023-01-15,P005,Laptops,1,1299.00,Female,69
T00021,C00101,2023-02-01,P002,Smartphones,1,799.00,Male,30
T00022,C00102,2023-02-03,P003,Smartphones,1,650.00,Female,37
T00023,C00103,2023-02-05,P004,Smartphones,1,950.00,Male,52
T00024,C00104,2023-02-07,P005,Laptops,,1299.00,Female,19
T00025,C00105,2023-02-09,P006,Laptops,1,999.00,Male,36
T00026,C00101,2023-02-10,P008,Wearables,1,249.99,Male,26
T00027,C00106,2023-02-12,P009,Wearables,1,350.00,Female,66
T00028,C00107,2023-02-14,P010,Home Automation,1,149.00,Male,33
T00029,C00108,2023-02-16,P011,Home Automation,2,75.00,Female,59
T00030,C00109,2023-02-18,P012,Home Automation,1,199.00,Male,41
T00031,C00101,2023-02-20,P015,Accessories,2,19.99,Male,28
T00032,C00110,2023-02-22,P016,Accessories,3,9.50,Female,23
T00033,C00111,2023-02-24,P017,Accessories,1,15.00,Male,70
T00034,C00112,2023-02-26,P018,Accessories,2,25.00,Female,68
T00035,C00101,2023-03-01,P001,Smartphones,1,899.99,Male,25
T00036,C00102,2023-03-03,P002,Smartphones,1,799.00,Female,39
T00037,C00103,2023-03-05,P003,Smartphones,1,650.00,Male,56
T00038,C00104,2023-03-07,P004,Smartphones,1,950.00,Female,20
T00039,C00105,2023-03-09,P005,Laptops,,1299.00,Male,44
T00040,C00101,2023-03-11,P006,Laptops,1,999.00,Male,31
T00041,C00106,2023-03-13,P007,Laptops,1,1100.00,Female,65
